Дата,Средняя
09/02/2020,16.7
10/02/2020,17.1
11/02/2020,18.8
12/02/2020,20.8
13/02/2020,21.7
14/02/2020,20.1
15/02/2020,20.0
16/02/2020,20.7
17/02/2020,22.3
18/02/2020,22.0
19/02/2020,22.6
20/02/2020,22.2
21/02/2020,20.3
22/02/2020,20.7
23/02/2020,20.7
24/02/2020,21.3
25/02/2020,22.2
26/02/2020,22.9
27/02/2020,24.1
28/02/2020,24.5
29/02/2020,25.2
01/03/2020,24.5
02/03/2020,24.9
03/03/2020,24.3
04/03/2020,24.5
05/03/2020,21.9
06/03/2020,18.7
07/03/2020,19.7
08/03/2020,21.9
09/03/2020,23.4
10/03/2020,24.1
11/03/2020,22.3
12/03/2020,21.0
13/03/2020,20.2
14/03/2020,20.9
15/03/2020,21.3
16/03/2020,22.2
17/03/2020,23.9
18/03/2020,26.1
19/03/2020,26.8
20/03/2020,27.5
21/03/2020,27.5
22/03/2020,27.9
23/03/2020,27.5
24/03/2020,27.9
25/03/2020,28.6
26/03/2020,21.8
27/03/2020,21.9
28/03/2020,23.7
29/03/2020,26.5
30/03/2020,27.5
31/03/2020,28.3
01/04/2020,28.2
02/04/2020,28.3
03/04/2020,28.7
04/04/2020,28.6
05/04/2020,29.1
06/04/2020,30.8
07/04/2020,31.4
08/04/2020,29.8
09/04/2020,29.9
10/04/2020,31.7
11/04/2020,32.5
12/04/2020,31.9
13/04/2020,33.4
14/04/2020,33.3
15/04/2020,32.2
16/04/2020,33.2
17/04/2020,32.6
18/04/2020,32.8
19/04/2020,31.5
20/04/2020,28.6
21/04/2020,30.9
22/04/2020,32.4
23/04/2020,32.6
24/04/2020,32.8
25/04/2020,32.0
26/04/2020,30.7
27/04/2020,28.9
28/04/2020,31.9
29/04/2020,34.4
01/05/2020,34.8
02/05/2020,35.2
03/05/2020,35.2
04/05/2020,31.5
05/05/2020,32.2
06/05/2020,32.5
07/05/2020,33.9
08/05/2020,36.5
09/05/2020,36.6
10/05/2020,35.8
11/05/2020,35.2
12/05/2020,34.6
13/05/2020,34.7
14/05/2020,35.1
15/05/2020,34.7
16/05/2020,35.1
17/05/2020,36.1
18/05/2020,34.6
19/05/2020,35.6
20/05/2020,34.4
21/05/2020,36.4
22/05/2020,37.4
23/05/2020,37.3
24/05/2020,37.5
25/05/2020,38.4
26/05/2020,37.6
27/05/2020,36.8
28/05/2020,36.6
29/05/2020,33.4
30/05/2020,27.8
31/05/2020,30.4
01/06/2020,32.0
02/06/2020,32.3
03/06/2020,30.9
04/06/2020,32.8
05/06/2020,29.5
06/06/2020,32.1
07/06/2020,32.6
08/06/2020,34.2
09/06/2020,34.8
10/06/2020,34.8
11/06/2020,35.4
12/06/2020,33.1
13/06/2020,32.7
14/06/2020,35.8
15/06/2020,36.4
16/06/2020,38.2
17/06/2020,37.3
18/06/2020,36.0
19/06/2020,35.9
20/06/2020,35.6
21/06/2020,34.3
22/06/2020,35.3
23/06/2020,33.3
24/06/2020,29.3
25/06/2020,31.6
26/06/2020,34.9
27/06/2020,35.2
28/06/2020,35.6
29/06/2020,35.8
30/06/2020,35.4
01/07/2020,32.0
02/07/2020,33.8
03/07/2020,35.7
04/07/2020,34.3
05/07/2020,33.8
06/07/2020,29.8
07/07/2020,33.1
08/07/2020,32.8
09/07/2020,32.1
10/07/2020,33.0
11/07/2020,31.7
12/07/2020,32.7
13/07/2020,33.8
14/07/2020,33.6
15/07/2020,36.2
16/07/2020,34.4
17/07/2020,35.2
18/07/2020,32.6
19/07/2020,32.6
20/07/2020,32.9
21/07/2020,28.9
22/07/2020,29.8
23/07/2020,32.8
24/07/2020,30.9
25/07/2020,29.0
26/07/2020,31.1
27/07/2020,32.7
28/07/2020,33.3
29/07/2020,33.1
30/07/2020,32.6
31/07/2020,29.9
01/08/2020,29.3
02/08/2020,32.2
03/08/2020,33.1
04/08/2020,32.9
05/08/2020,34.2
06/08/2020,32.9
07/08/2020,29.3
08/08/2020,28.0
09/08/2020,30.1
10/08/2020,28.9
11/08/2020,30.1
12/08/2020,30.3
13/08/2020,30.8
14/08/2020,29.9
15/08/2020,26.8
16/08/2020,28.8
17/08/2020,30.4
18/08/2020,30.1
19/08/2020,30.8
20/08/2020,29.2
21/08/2020,31.2
22/08/2020,31.6
23/08/2020,31.0
24/08/2020,27.1
25/08/2020,26.1
26/08/2020,27.7
27/08/2020,28.7
28/08/2020,29.3
29/08/2020,29.1
30/08/2020,27.6
31/08/2020,25.6
01/09/2020,26.1
02/09/2020,28.7
03/09/2020,27.3
04/09/2020,26.8
05/09/2020,27.3
06/09/2020,25.8
07/09/2020,27.4
08/09/2020,28.9
09/09/2020,28.6
10/09/2020,30.7
11/09/2020,30.5
12/09/2020,31.3
13/09/2020,31.7
14/09/2020,31.7
15/09/2020,31.8
16/09/2020,32.0
17/09/2020,31.9
18/09/2020,31.3
19/09/2020,30.7
20/09/2020,30.9
21/09/2020,30.5
22/09/2020,31.4
23/09/2020,31.7
24/09/2020,31.6
25/09/2020,31.1
26/09/2020,29.7
27/09/2020,29.3
28/09/2020,30.1
29/09/2020,29.9
30/09/2020,30.3
01/10/2020,30.9
02/10/2020,30.3
03/10/2020,30.3
04/10/2020,31.1
05/10/2020,30.3
06/10/2020,28.9
07/10/2020,29.3
08/10/2020,28.9
09/10/2020,28.9
10/10/2020,28.7
11/10/2020,29.3
12/10/2020,28.2
13/10/2020,27.7
14/10/2020,28.4
15/10/2020,29.9
16/10/2020,30.4
17/10/2020,31.3
18/10/2020,25.8
19/10/2020,27.8
20/10/2020,28.4
21/10/2020,28.6
22/10/2020,25.9
23/10/2020,25.9
24/10/2020,25.6
25/10/2020,25.4
26/10/2020,25.3
